date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T16:15,9.9, 49.8
2026-06-26,2026-06-25T20:45,10.0,50.0
2026-06-26,2026-06-25T20:45,10.0,50.0
2026-06-26,2026-06-25T21:00,10.0,50.0
2026-06-26,2026-06-25T21:00,10.0,50.0
2026-06-26,2026-06-25T21:30,10.2,50.4
2026-06-26,2026-06-25T21:30,9.3,48.7
2026-06-26,2026-06-25T21:45,9.2,48.6
2026-06-26,2026-06-26T03:00,10.1,50.2
2026-06-26,2026-06-26T07:00,11.3,52.3
2026-06-26,2026-06-26T11:15,13.8,56.8
2026-06-26,2026-06-26T14:45,12.9,55.2
2026-06-26,2026-06-26T15:45,12.8,55.0
2026-06-27,2026-06-26T21:15,11.3,52.3
2026-06-27,2026-06-27T02:15,10.1,50.2
2026-06-27,2026-06-27T06:00,9.1,48.4
2026-06-27,2026-06-27T10:45,11.5,52.7
2026-06-27,2026-06-27T15:45,12.5,54.5
2026-06-28,2026-06-28T02:45,8.0,46.4
2026-06-28,2026-06-28T06:15,6.9,44.4
2026-06-28,2026-06-28T10:45,13.4,56.1
2026-06-28,2026-06-28T15:45,14.0,57.2
2026-06-29,2026-06-29T04:45,8.1,46.6
2026-06-29,2026-06-29T08:30,12.0,53.6
2026-06-29,2026-06-29T11:45,14.2,57.6
2026-06-29,2026-06-29T15:45,14.4,57.9
2026-06-30,2026-06-30T03:15,6.9,44.4
2026-06-30,2026-06-30T06:45,8.9,48.0
2026-06-30,2026-06-30T11:15,14.4,57.9
2026-06-30,2026-06-30T16:00,13.7,56.7
2026-07-01,2026-07-01T03:30,6.6,43.9
2026-07-01,2026-07-01T07:00,8.5,47.3
2026-07-01,2026-07-01T11:45,15.1,59.2
2026-07-01,2026-07-01T16:00,14.8,58.6
2026-07-02,2026-07-02T02:45,9.1,48.4
2026-07-02,2026-07-02T06:30,8.8,47.8
2026-07-02,2026-07-02T11:15,14.5,58.1
2026-07-02,2026-07-02T15:45,15.9,60.6
2026-07-03,2026-07-03T02:45,9.9,49.8
2026-07-03,2026-07-03T06:30,9.7,49.5
2026-07-03,2026-07-03T11:00,14.7,58.5
2026-07-03,2026-07-03T15:45,15.8,60.4
2026-07-04,2026-07-04T02:00,9.3,48.7
2026-07-04,2026-07-04T06:00,7.7,45.9
2026-07-04,2026-07-04T10:45,14.4,57.9
2026-07-04,2026-07-04T15:45,14.5,58.1
2026-07-05,2026-07-05T02:30,9.3,48.7
2026-07-05,2026-07-05T06:00,8.3,46.9
2026-07-05,2026-07-05T10:45,12.9,55.2
2026-07-05,2026-07-05T15:45,16.6,61.9
2026-07-06,2026-07-06T04:15,7.7,45.9
2026-07-06,2026-07-06T07:45,9.0,48.2
2026-07-06,2026-07-06T11:45,12.6,54.7
2026-07-06,2026-07-06T15:45,13.0,55.4
2026-07-07,2026-07-07T03:15,8.9,48.0
2026-07-07,2026-07-07T07:00,9.0,48.2
2026-07-07,2026-07-07T11:45,9.9,49.8
2026-07-07,2026-07-07T15:45,12.3,54.1
2026-07-08,2026-07-08T02:15,8.7,47.7
2026-07-08,2026-07-08T06:30,8.6,47.5
2026-07-08,2026-07-08T11:00,13.1,55.6
2026-07-08,2026-07-08T15:45,13.9,57.0
2026-07-09,2026-07-09T03:15,10.1,50.2
2026-07-09,2026-07-09T07:30,10.3,50.5
2026-07-09,2026-07-09T11:45,14.4,57.9
2026-07-09,2026-07-09T16:00,15.2,59.4
2026-07-10,2026-07-10T03:00,8.3,46.9
2026-07-10,2026-07-10T06:45,8.5,47.3
2026-07-10,2026-07-10T11:15,11.3,52.3
2026-07-10,2026-07-10T15:45,14.0,57.2
2026-07-11,2026-07-11T01:30,9.8,49.6
2026-07-11,2026-07-11T05:45,9.9,49.8
2026-07-11,2026-07-11T10:45,12.3,54.1
2026-07-11,2026-07-11T15:30,12.9,55.2
2026-07-12,2026-07-12T01:45,11.5,52.7
2026-07-12,2026-07-12T05:45,11.7,53.1
2026-07-12,2026-07-12T10:45,17.7,63.9
2026-07-12,2026-07-12T15:30,17.6,63.7
2026-07-13,2026-07-13T03:15,11.7,53.1
2026-07-13,2026-07-13T11:15,14.7,58.5
2026-07-13,2026-07-13T15:45,15.0,59.0
2026-07-14,2026-07-14T01:45,9.4,48.9
2026-07-14,2026-07-14T06:00,7.8,46.0
2026-07-14,2026-07-14T10:45,15.4,59.7
2026-07-14,2026-07-14T15:45,16.2,61.2
2026-07-15,2026-07-15T02:00,8.1,46.6
2026-07-15,2026-07-15T06:00,8.8,47.8
2026-07-15,2026-07-15T11:00,13.3,55.9
2026-07-15,2026-07-15T15:45,14.3,57.7
2026-07-16,2026-07-16T02:00,9.2,48.6
2026-07-16,2026-07-16T06:15,7.8,46.0
2026-07-16,2026-07-16T10:45,13.6,56.5
2026-07-16,2026-07-16T15:45,12.9,55.2
2026-07-17,2026-07-17T02:00,10.4,50.7
2026-07-17,2026-07-17T06:00,10.3,50.5
2026-07-17,2026-07-17T10:45,13.7,56.7
2026-07-17,2026-07-17T15:30,15.2,59.4
2026-07-18,2026-07-18T01:30,11.1,52.0
2026-07-18,2026-07-18T05:45,10.3,50.5
2026-07-18,2026-07-18T10:45,16.5,61.7
2026-07-18,2026-07-18T15:30,16.8,62.2
2026-07-19,2026-07-19T02:00,11.7,53.1
2026-07-19,2026-07-19T05:45,12.2,54.0
2026-07-19,2026-07-19T10:45,17.2,63.0
2026-07-19,2026-07-19T15:30,17.8,64.0
2026-07-20,2026-07-20T02:45,13.2,55.8
