date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T16:15,9.9, 49.8
2026-06-26,2026-06-25T20:45,10.0,50.0
2026-06-26,2026-06-25T20:45,10.0,50.0
2026-06-26,2026-06-25T21:00,10.0,50.0
2026-06-26,2026-06-25T21:00,10.0,50.0
2026-06-26,2026-06-25T21:30,10.2,50.4
2026-06-26,2026-06-25T21:30,9.3,48.7
2026-06-26,2026-06-25T21:45,9.2,48.6
2026-06-26,2026-06-26T03:00,10.1,50.2
2026-06-26,2026-06-26T07:00,11.3,52.3
2026-06-26,2026-06-26T11:15,13.8,56.8
2026-06-26,2026-06-26T14:45,12.9,55.2
2026-06-26,2026-06-26T15:45,12.8,55.0
2026-06-27,2026-06-26T21:15,11.3,52.3
2026-06-27,2026-06-27T02:15,10.1,50.2
2026-06-27,2026-06-27T06:00,9.1,48.4
2026-06-27,2026-06-27T10:45,11.5,52.7
2026-06-27,2026-06-27T15:45,12.5,54.5
2026-06-28,2026-06-28T02:45,8.0,46.4
2026-06-28,2026-06-28T06:15,6.9,44.4
2026-06-28,2026-06-28T10:45,13.4,56.1
2026-06-28,2026-06-28T15:45,14.0,57.2
2026-06-29,2026-06-29T04:45,8.1,46.6
2026-06-29,2026-06-29T08:30,12.0,53.6
2026-06-29,2026-06-29T11:45,14.2,57.6
2026-06-29,2026-06-29T15:45,14.4,57.9
2026-06-30,2026-06-30T03:15,6.9,44.4
2026-06-30,2026-06-30T06:45,8.9,48.0
2026-06-30,2026-06-30T11:15,14.4,57.9
2026-06-30,2026-06-30T16:00,13.7,56.7
2026-07-01,2026-07-01T03:30,6.6,43.9
2026-07-01,2026-07-01T07:00,8.5,47.3
2026-07-01,2026-07-01T11:45,15.1,59.2
2026-07-01,2026-07-01T16:00,14.8,58.6
2026-07-02,2026-07-02T02:45,9.1,48.4
2026-07-02,2026-07-02T06:30,8.8,47.8
2026-07-02,2026-07-02T11:15,14.5,58.1
